,Unnamed: 0,Unnamed: 0.1,mid,name,sex,level,has_fans_badge,title,has_live_room,zone,following,follower,follower_mid_list
426,426,32606879,32606879,果子哥哥工作室,保密,6,True,bilibili 知名搞笑UP主,1,"{'动画': 9, '舞蹈': 2, '生活': 316, '影视': 6, '音乐': 3, '游戏': 1, '娱乐': 1}",2,1089882,[]
427,427,27756469,27756469,奶糕成精档案社,保密,6,True,bilibili 知名萌宠UP主,0,{'生活': 15},8,1105629,"[641975239, 37090048, 455876411]"
428,428,25150941,25150941,极速拍档,保密,6,True,bilibili 知名汽车UP主,1,"{'生活': 443, '美食': 1, '音乐': 1}",66,1107307,"[258150656, 946974, 382193067, 448039667, 208259, 2, 125526, 81824112, 470156882, 510856133, 15967711, 321422126, 7552204, 52250, 14333871, 394609671, 107130503, 129259501, 520155988, 452309333, 517327498, 37663924, 257975429, 20165629, 37090048, 290548469, 321173469, 163637592, 95515699, 6574487, 32786875, 24738601]"
429,429,16351122,16351122,比比比目鱼,保密,6,True,bilibili 知名UP主、直播签约主播,1,"{'生活': 185, '音乐': 1, '知识': 1, '游戏': 1}",189,1079175,"[37090048, 3040178, 403748305, 29329085, 470156882, 21876627, 24301201, 26139491, 5957440, 38351330, 17546432, 28330240, 303469491, 29296192, 18202105, 216156027, 283538, 121225592, 17409016, 8960728, 7375428, 3562949, 9824766, 50660116, 2306780, 56065480, 38294246, 6171645, 174501086, 1398957, 208259, 4474705, 196356191, 295723, 375375, 8047632, 11616487, 4856007, 28822227, 3032988, 11278782, 9617619, 11264229, 26633150, 110631, 168598, 284424]"
430,430,7596516,7596516,酒客小丑,男,6,True,bilibili 2018百大UP主、知名UP主,1,"{'动画': 173, '国创': 3, '美食': 1, '知识': 1, '游戏': 17}",49,1077835,"[9617619, 27534330, 79577853, 517327498, 280793434, 235555226, 437316738, 7792521, 163637592, 2733216, 30643878, 63231, 4128618, 14110780, 1351379, 423895, 17409016, 433351, 7349, 18030567, 684169, 546195, 748709, 122879, 1939319, 730732, 137952, 216025]"
431,431,719238,719238,谷谷永不咕咕,保密,6,True,bilibili 知名UP主,1,"{'动画': 40, '生活': 6, '游戏': 38}",445,1077043,"[52165725, 487511093, 872507, 514019783, 3386870, 3353026, 10897973, 355596637, 51896064, 321422126, 90361813, 96070394, 394609671, 1893045, 627888730, 174501086, 641975239, 3127528, 605544858, 7552204, 37663924, 18706318, 37291782, 28642491, 521249172, 519872016, 3743849, 2435767, 4223935, 20163112, 37946996, 20165629, 927687, 908383, 10303206, 526559715, 451320374, 517327498, 2728123, 319438468, 416128940, 13354765, 37199377, 21837784, 15773384, 8047632, 254726274, 454719565, 491593210, 22121599, 470156882, 305642157, 22770727, 473519710, 222103174, 8784855, 489412051, 2200736, 406745134, 14583962, 385474, 456664753, 477631979, 88389962, 11684621]"
432,432,82385070,82385070,郝给力,保密,6,True,,1,"{'时尚': 96, '生活': 101, '美食': 4, '知识': 4}",498,1075420,"[49494871, 203708804, 85835398, 13354765, 2200736, 66391032, 14402657, 213845897, 104207471, 25807917, 4029133, 7487399, 6926237, 52165725, 168064909, 9008159, 250111460, 79415852, 347667464, 5970160, 4474705, 280793434, 3116281, 81824112, 119801456, 1328260, 1532165, 39847479, 410964, 455876411, 2920960, 546195, 4578433, 17474339, 9458053, 235555226, 196356191, 9824766, 20165629, 321173469, 16419172]"
433,433,367877,367877,笔吧评测室,男,6,True,bilibili 知名科技UP主,1,{'数码': 164},247,1077353,"[11073, 63231, 116683, 122879, 168598, 282994, 295723, 375375, 433351, 466272, 515993, 546195, 562197, 585267, 730732, 777536, 927587, 946974, 1420982, 1577804, 1958342, 2200736, 2206456, 2920960, 3046429, 3066511, 3353026, 3766866, 4162287, 4474705, 5293668, 5294454, 5970160, 6574487, 7487399, 7552204, 7788379, 8366990, 9824766, 10119428, 10874201, 13354765, 14110780, 16539048, 16794231, 17819768, 18202105, 19642758, 21837784, 23604445, 25150941, 25422790, 26139491, 26240675, 27756469, 29329085, 35359510, 37663924, 38351330, 39627524, 43222001, 51896064, 59905809, 62540916, 72270557, 79061224, 79577853, 94281836, 96070394, 99157282, 113362335, 147166910, 163637592, 176037767, 250111460, 254463269, 258150656, 279583114, 279991456, 285499073, 326246517, 345630501, 353539995, 369750017, 378885845, 414641554, 415479453, 416128940, 436473455, 450595813, 452309333, 454719565, 470156882, 483879799, 517327498, 519872016, 590490400, 596324576, 604003146, 648113003, 808171, 37291782, 598464467, 9617619, 627888730, 12434430, 8372353, 14871346, 20503549, 338748561, 9321359, 321173469, 235555226, 37090048, 25876945]"
434,434,598464467,598464467,苏星河牛通,保密,6,True,bilibili 知名科技UP主,1,"{'数码': 15, '音乐': 1, '知识': 1}",69,1077892,"[3766866, 163637592, 470156882, 35359510, 262453663, 7552204, 8482768, 258150656, 483311105, 355596637, 1858682, 250475408, 394609671, 927587, 17474339, 946974, 81824112, 486287787, 24738601, 235555226, 25807917, 79577853, 605205509, 434376696, 95515699, 125526, 17244618, 37090048, 25910292, 119801456, 208259, 517327498]"
435,435,174070934,174070934,无敌皮皮鸟,男,6,True,bilibili 知名游戏UP主,1,{'游戏': 487},49,1078445,"[102999485, 18202105, 10119428, 15385187, 37663924, 517327498, 38351330, 397076059, 472755538, 37090048, 1935882, 57863910, 108569350, 103073257, 437316738, 19642758, 7552204, 1526101, 32786875, 196356191, 13354765, 8366990, 20165629, 546195, 26139491, 20503549, 17409016, 927587, 1871001, 7487399, 123938419, 9824766, 1532165]"
