,mid,name,sex,level,has_fans_badge,title,has_live_room,zone
178778949,178778949,英雄联盟,女,6,True,英雄联盟官方账号,1,"{'动画': 1, '鬼畜': 8, '舞蹈': 6, '生活': 8, '纪录片': 1, '音乐': 1, '游戏': 2684, '娱乐': 2}"
6926237,6926237,YouTube听力精选,男,6,True,bilibili 知名UP主,1,"{'动画': 2, '时尚': 1, '生活': 130, '影视': 13, '知识': 167, '娱乐': 66}"
4856007,4856007,迷影社,保密,6,False,放映厅迷影社账号,1,"{'动画': 1, '电视剧': 5808, '舞蹈': 1, '影视': 1046, '音乐': 6, '娱乐': 17}"
3380239,3380239,神奇的老皮VFX,男,6,True, bilibili 2019百大UP主、知名UP主,1,"{'动画': 15, '生活': 48, '知识': 1, '游戏': 47}"
53456,53456,Warma,女,6,True,bilibili 知名UP主,1,"{'动画': 27, '生活': 42, '美食': 3, '音乐': 33, '游戏': 73}"
216156027,216156027,小高姐的魔法调料,女,6,True,bilibili 知名美食UP主,1,{'美食': 219}
43389575,43389575,凤凰天使TSKS韩剧社官方账号,保密,6,False,,1,"{'时尚': 30, '生活': 18, '娱乐': 7167}"
36081646,36081646,洛天依,女,6,True,洛天依官方账号,1,"{'生活': 1, '资讯': 1, '音乐': 44, '游戏': 1, '娱乐': 1}"
279991456,279991456,靠谱电竞,保密,6,True,bilibili 2019百大UP主、知名游戏UP主,1,{'游戏': 232}
390079112,390079112,一条小团团OvO,女,6,True,一条小团团OvO官方账号， 游戏类视频自媒体,0,"{'鬼畜': 2, '生活': 26, '影视': 1, '音乐': 11, '游戏': 183}"
42619059,42619059,Uzi,保密,6,False,RNG电子竞技俱乐部ADC队员,0,{'游戏': 33}
208259,208259,陈睿,男,6,True,bilibili董事长兼CEO,1,"{'生活': 2, '知识': 2, '娱乐': 1}"
2200736,2200736,才疏学浅的才浅,男,6,True,bilibili 知名UP主,1,"{'生活': 21, '知识': 14}"
347667464,347667464,老爸评测,男,6,True,bilibili 知名UP主,1,"{'时尚': 49, '生活': 54, '纪录片': 1, '美食': 28, '知识': 22}"
123938419,123938419,嘻咦啊看,保密,6,True,bilibili 2018百大UP主、嘻咦啊看官方账号,1,"{'生活': 11, '影视': 60, '游戏': 1, '娱乐': 3}"
26240675,26240675,与山0v0,男,6,True,bilibili 2019百大UP主、知名UP主,1,"{'动画': 1, '生活': 71, '美食': 2, '游戏': 488}"
617285,617285,芒果冰OL,保密,6,True,bilibili 2018百大UP主,1,"{'生活': 2, '音乐': 1, '知识': 1, '游戏': 242}"
3682229,3682229,长歌与小见见,女,6,True,bilibili 2019百大UP主、知名游戏UP主,1,"{'动画': 1, '鬼畜': 1, '舞蹈': 3, '生活': 118, '影视': 16, '数码': 1, '美食': 5, '音乐': 22, '知识': 12, '游戏': 787, '娱乐': 2}"
7714,7714,女孩为何穿短裙,保密,6,True,bilibili 2018百大UP主、 知名UP主,1,"{'鬼畜': 54, '生活': 1, '游戏': 3}"
295711424,295711424,神秘店长A,男,6,True,bilibili 2019百大UP主,1,"{'生活': 3, '知识': 1, '游戏': 95}"
470156882,470156882,小艾大叔,男,6,True,bilibili 知名UP主,1,"{'生活': 30, '娱乐': 1}"
203337614,203337614,开心嘴炮,保密,6,True,bilibili 知名娱乐UP主,1,"{'舞蹈': 15, '生活': 7, '国创': 1, '影视': 162, '娱乐': 73}"
2374194,2374194,墨韵Moyun,女,6,True,bilibili 2019百大UP主、 知名音乐UP主,1,"{'资讯': 1, '音乐': 37}"
11336264,11336264,TESTV官方频道,保密,6,True,bilibili 知名科技UP主,1,"{'鬼畜': 3, '时尚': 1, '生活': 151, '影视': 3, '数码': 645, '美食': 50, '音乐': 1, '知识': 16, '游戏': 4}"
3345720,3345720,犬来八荒w,保密,6,True,演员成果,1,"{'影视': 2, '娱乐': 10}"
5957440,5957440,曼食慢语,保密,6,True,bilibili 2018百大UP主、 知名美食UP主,1,"{'生活': 61, '美食': 328}"
11870568,11870568,拉宏桑,保密,6,True,bilibili 2019百大UP主、知名UP主,1,"{'鬼畜': 1, '舞蹈': 1, '时尚': 23, '生活': 152, '美食': 29, '音乐': 11, '知识': 1, '游戏': 1, '娱乐': 5}"
393166851,393166851,大碗拿铁,保密,6,True,bilibili 知名美食UP主,1,{'美食': 74}
57863910,57863910,王者荣耀,男,6,True,王者荣耀官方,1,"{'动画': 3, '舞蹈': 5, '生活': 8, '音乐': 66, '游戏': 1135}"
3353026,3353026,鹤吱菌,男,6,True,bilibili 知名游戏UP主,1,"{'动画': 3, '生活': 7, '游戏': 72}"
520155988,520155988,所长林超,保密,6,True,bilibili 知名科普UP主,1,{'知识': 41}
108569350,108569350,AG超玩会王者荣耀梦泪,男,6,True,KPL职业选手梦泪,1,"{'生活': 8, '音乐': 1, '游戏': 981}"
104207471,104207471,杰里德Jared,男,6,True,bilibili 2019百大UP主、 知名搞笑UP主,1,"{'时尚': 2, '生活': 156, '音乐': 6, '知识': 1, '游戏': 2}"
946974,946974,影视飓风,保密,6,True,bilibili 2019百大UP主、知名UP主,1,"{'动画': 2, '生活': 48, '纪录片': 3, '影视': 4, '数码': 200, '美食': 1, '知识': 83, '游戏': 2, '娱乐': 1}"
414641554,414641554,女胖胖,保密,6,True,bilibili 知名美食UP主,1,"{'时尚': 3, '生活': 32, '美食': 171}"
